B-01,B-02,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,Average,Variance,Zone 1,Zone 2,Zone 3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,4.5,0.0,0.0,1.9318181818181819,88.72004132231403,0.0,0.9,2.375
0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.5,0.0,0.0,1.7727272727272727,47.77066115702482,0.0,2.1,1.78125
0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.5,19.5,0.0,0.0,4.5,4.5,3.0,0.0,0.0,0.0,0.0,0.0,1.8409090909090908,35.97210743801652,0.0,0.9,2.25
0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.5,15.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.2954545454545454,22.620867768595037,0.0,0.9,1.5
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,1.3181818181818181,25.20867768595042,0.0,0.0,1.8125
0.0,2.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.386363636363637,469.286157024794,0.0,0.0,6.03125
0.0,0.0,0.0,94.5,43.5,0.0,4.5,0.0,0.0,0.0,0.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.136363636363637,971.1384297520664,0.0,0.9,10.90625
0.0,0.0,0.0,22.5,43.5,22.5,4.5,0.0,10653.0,31.5,0.0,45.0,322.5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,506.7954545454545,6122156.327479341,10653.0,69.9,9.1875
0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,14439.0,46.5,0.0,19.5,2082.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.2272727272727,11567661.123966947,14439.0,426.4,4.125
172.5,4.5,11.0,90.0,0.0,103.5,48.0,0.0,17149.5,75.0,0.0,4.5,1677.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,879.090909090909,13571130.694214875,17149.5,365.7,22.625
607.5,6.5,31.5,460.5,0.0,171.5,50.0,0.0,15321.0,57.0,0.0,4.5,3034.5,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,898.840909090909,12334443.769628102,15321.0,651.2,74.84375
1294.5,60.0,82.5,405.0,0.0,193.5,31.5,0.0,6154.5,57.0,0.0,15.0,1624.5,0.0,0.0,0.0,0.0,0.0,36.0,9.0,0.0,49.5,455.1136363636364,2263811.8109504124,6154.5,369.9,125.53125
1032.0,121.5,105.0,262.5,33.0,220.5,0.0,0.0,4396.5,57.0,0.0,40.5,1377.0,0.0,0.0,0.0,0.0,0.0,43.5,9.0,0.0,81.0,353.5909090909091,1300111.2334710744,4396.5,319.5,111.5625
927.0,291.0,157.5,175.5,291.0,270.0,4.5,0.0,130.5,4.5,0.0,54.0,1248.0,0.0,0.0,15.0,0.0,0.0,63.0,0.0,0.0,84.0,168.88636363636363,113754.87706611566,130.5,307.5,127.96875
622.5,390.0,201.5,217.5,144.0,237.0,4.5,9.0,18.0,9.0,0.0,169.5,864.0,0.0,0.0,15.0,0.0,0.0,294.0,0.0,2.0,229.5,155.77272727272725,59334.737603305795,18.0,224.1,143.03125
409.5,406.5,294.0,198.5,154.5,27.0,4.5,24.0,4.5,25.5,0.0,214.5,411.0,10.5,0.0,0.0,0.0,0.0,202.5,0.0,4.5,223.5,118.86363636363636,25973.72107438017,4.5,90.6,134.84375
193.5,420.5,204.0,30.0,207.0,0.0,4.5,4.5,4.5,21.0,0.0,303.0,156.0,19.5,0.0,0.0,0.0,0.0,96.0,4.5,0.0,82.5,79.5909090909091,15208.109504132228,4.5,36.0,97.90625
102.0,394.5,124.5,4.5,130.5,22.5,9.0,0.0,4.5,0.0,4.5,240.5,13.5,19.5,0.0,0.0,10.5,4.5,0.0,0.0,4.5,163.5,56.95454545454545,10604.336776859505,4.5,12.9,74.0
65.0,243.0,58.5,0.0,100.5,22.5,9.0,0.0,0.0,0.0,9.0,190.5,4.5,10.5,16.5,0.0,25.5,6.5,0.0,0.0,4.5,165.0,42.31818181818182,6173.5785123966925,0.0,9.3,55.28125
66.0,100.5,40.5,0.0,31.5,10.5,0.0,4.5,4.5,0.0,9.0,258.0,4.5,25.5,16.5,0.0,18.0,13.5,0.0,0.0,4.5,102.0,32.25,4072.323347107439,4.5,8.1,41.53125
103.5,85.5,40.5,5.0,40.5,48.0,0.0,4.5,27.0,0.0,4.5,243.0,15.0,20.0,0.0,4.5,10.5,0.0,4.5,0.0,15.5,42.0,32.45454545454545,4276.969008264461,27.0,17.5,37.46875
79.5,73.5,76.5,10.5,36.0,31.5,0.0,0.0,27.0,0.0,4.5,223.5,10.5,12.5,0.0,0.0,6.0,69.0,4.5,0.0,4.5,13.5,31.045454545454547,3340.245867768596,27.0,10.9,37.59375
63.0,51.5,4.5,27.5,24.5,19.5,4.5,4.5,13.5,4.5,9.0,193.5,0.0,10.5,4.5,0.0,9.0,78.0,0.0,0.0,0.0,9.0,24.136363636363633,2241.7665289256192,13.5,6.9,30.1875
36.0,35.0,18.0,33.0,11.0,4.5,9.0,9.0,0.0,4.5,4.5,252.0,4.5,0.0,0.0,0.0,51.0,9.0,0.0,0.0,0.0,0.0,21.863636363636363,2917.0888429752067,0.0,3.6,28.9375
3.0,42.0,13.5,33.0,4.5,0.0,13.5,4.5,0.0,15.0,4.5,255.5,0.0,4.5,4.5,0.0,58.5,9.0,0.0,0.0,0.0,0.0,21.159090909090907,3137.3646694214885,0.0,3.6,27.96875
15.0,16.5,18.0,0.0,9.0,4.5,4.5,0.0,2.0,25.5,2.0,160.5,4.5,4.5,0.0,0.0,10.5,4.5,4.5,0.0,0.0,0.0,13.0,1445.1632231404956,2.0,3.6,16.625
27.0,55.5,18.0,18.0,4.5,9.0,72.0,0.0,0.0,10.5,6.5,160.5,4.5,9.0,0.0,0.0,10.5,4.5,4.5,0.0,0.0,4.5,19.045454545454547,1826.0826446280994,0.0,18.9,20.28125
13.5,60.0,24.5,36.0,4.5,9.0,72.0,0.0,0.0,0.0,4.5,138.0,9.0,11.0,0.0,0.0,7.5,4.5,0.0,0.0,0.0,0.0,17.90909090909091,1772.154958677686,0.0,20.2,18.3125
18.0,62.0,18.0,94.5,16.5,4.5,0.0,0.0,0.0,0.0,0.0,120.0,9.0,4.5,0.0,0.0,15.0,0.0,0.0,0.0,4.5,0.0,16.65909090909091,1951.856404958677,0.0,3.6,21.78125
30.0,41.0,9.0,51.0,37.5,10.5,15.0,0.0,0.0,0.0,4.5,90.0,10.5,9.0,51.0,0.0,33.0,0.0,0.0,0.0,4.5,0.0,18.022727272727273,1036.782024793388,0.0,9.0,21.96875
15.0,4.5,0.0,0.0,4.5,10.5,15.0,28.5,0.0,0.0,4.5,77.0,4.5,4.5,0.0,0.0,36.0,8.0,0.0,0.0,4.5,0.0,9.863636363636363,448.4504132231404,0.0,6.9,11.40625
3.0,4.5,4.5,153.0,4.5,0.0,7.5,28.5,0.0,4.5,4.5,72.0,18.0,4.5,0.0,4.5,18.0,30.5,0.0,9.0,2.0,0.0,16.954545454545457,2195.628099173555,0.0,6.9,21.15625
6.0,0.0,4.5,133.5,9.0,0.0,0.0,0.0,13.5,4.5,13.5,76.5,9.0,2.0,0.0,4.5,3.0,141.0,0.0,9.0,0.0,0.0,19.522727272727273,2741.116735537191,13.5,3.1,25.03125
6.0,4.5,18.0,4.5,9.0,0.0,2.0,4.5,13.5,0.0,4.5,103.5,0.0,0.0,0.0,0.0,18.0,43.5,0.0,0.0,0.0,0.0,10.522727272727273,745.7944214876036,13.5,0.4,13.5
16.5,4.5,4.5,4.5,4.5,0.0,4.5,4.5,0.0,0.0,4.5,108.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,4.5,0.0,0.0,8.113636363636363,674.6002066115701,0.0,0.9,10.875
34.5,2.0,0.0,0.0,6.5,0.0,2.0,0.0,0.0,0.0,9.0,105.5,0.0,9.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,8.34090909090909,653.8109504132235,0.0,2.2,10.78125
46.5,4.5,4.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,9.0,72.0,0.0,4.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.886363636363637,372.6911157024793,0.0,0.9,9.1875
48.0,0.0,4.5,22.5,0.0,4.5,0.0,0.0,0.0,0.0,4.5,49.5,10.5,9.0,0.0,0.0,12.0,4.5,0.0,4.5,0.0,0.0,7.909090909090909,334.8037190082644,0.0,4.8,9.375
28.5,0.0,4.5,33.0,0.0,9.0,0.0,0.0,0.0,4.5,0.0,61.5,15.0,6.5,28.5,0.0,6.0,0.0,0.0,4.5,0.0,0.0,9.15909090909091,476.81095041322317,0.0,6.1,10.6875
0.0,0.0,2.0,0.0,0.0,16.5,0.0,4.5,0.0,0.0,0.0,39.0,4.5,2.0,33.0,0.0,3.0,9.0,0.0,0.0,4.5,0.0,5.363636363636363,243.17768595041332,0.0,4.6,5.9375
3.0,5.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,15.0,0.0,0.0,9.0,0.0,0.0,4.5,4.5,5.068181818181818,187.13739669421489,0.0,3.3,5.9375
3.0,5.0,4.5,0.0,0.0,0.0,0.0,4.5,0.0,27.0,0.0,46.5,0.0,0.0,10.5,64.5,0.0,9.0,0.0,0.0,0.0,0.0,7.931818181818182,492.65392561983464,0.0,12.9,6.875
21.0,0.0,0.0,4.5,0.0,0.0,0.0,4.5,0.0,27.0,0.0,52.5,0.0,0.0,0.0,64.5,0.0,6.5,0.0,0.0,0.0,4.5,8.40909090909091,581.5289256198348,0.0,12.9,7.53125
33.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.5,0.0,0.0,0.0,0.0,12.0,6.5,4.5,4.5,0.0,4.5,8.818181818181818,1409.3925619834708,0.0,0.0,12.125
54.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,15.0,4.5,4.5,4.5,2.0,0.0,9.5,1272.1735537190089,0.0,0.0,13.0625
28.5,0.0,0.0,0.0,0.0,16.5,0.0,4.5,0.0,4.5,4.5,42.0,0.0,0.0,0.0,0.0,3.0,4.5,0.0,0.0,9.0,15.0,6.0,224.2933884297521,0.0,3.3,7.21875
7.5,5.0,0.0,4.5,0.0,0.0,0.0,4.5,0.0,0.0,4.5,37.5,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,4.5,19.5,4.795454545454546,159.43078512396698,0.0,0.0,6.59375
0.0,10.5,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,47.0,0.0,4.5,33.0,0.0,22.5,4.5,0.0,0.0,0.0,4.5,5.954545454545455,297.97314049586777,0.0,0.9,7.90625
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,0.0,4.5,4.5,0.0,22.5,4.5,0.0,0.0,0.0,0.0,3.2045454545454546,141.66632231404958,0.0,0.9,4.125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,4.5,0.0,0.0,15.0,6.5,0.0,0.0,0.0,0.0,2.477272727272727,86.9349173553719,0.0,0.9,3.125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,21.0,0.0,2.0,0.0,0.0,18.0,4.5,0.0,0.0,0.0,0.0,2.2727272727272725,66.30991735537192,0.0,0.4,3.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,31.5,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,2.2954545454545454,69.27376033057848,0.0,0.0,3.15625
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,31.5,0.0,0.0,0.0,4.5,0.0,4.5,0.0,0.0,0.0,0.0,2.3181818181818183,75.53305785123966,0.0,0.9,2.90625
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,0.0,0.0,0.0,4.5,3.0,9.0,0.0,0.0,0.0,0.0,2.477272727272727,68.1167355371901,0.0,0.9,3.125
