B-01,B-02,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,Average,Variance,Zone 1,Zone 2,Zone 3
0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,9,0,0,0,0,0,0,3.272727272727273,173.38016528925615,0.0,1.8,3.9375
0,0,0,0,0,0,21,0,0,0,0,42,0,0,0,0,6,0,0,0,0,0,3.1363636363636362,92.02685950413228,0.0,4.2,3.0
0,0,0,0,9,0,0,0,0,0,9,39,0,0,9,9,6,0,0,0,0,0,3.6818181818181817,71.94421487603304,0.0,1.8,4.5
0,0,0,0,9,0,0,0,0,0,9,30,0,0,0,9,0,0,0,0,0,0,2.590909090909091,45.241735537190074,0.0,1.8,3.0
0,0,0,0,4,0,0,0,0,0,0,30,0,0,0,0,15,0,0,0,0,0,2.227272727272727,46.902892561983485,0.0,0.0,3.0625
0,0,0,144,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,8.181818181818182,934.5123966942161,0.0,0.0,11.25
0,0,0,189,87,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,15.681818181818182,1938.2169421487608,0.0,0.0,21.5625
0,0,0,45,87,0,0,0,5358,0,0,90,0,0,0,0,0,9,0,0,0,0,254.04545454545453,1241185.4070247933,5358.0,0.0,14.4375
0,0,0,0,0,0,0,0,7068,9,0,39,96,4,0,0,0,0,0,0,0,0,328.0,2163664.090909091,7068.0,20.0,3.0
114,0,18,180,0,111,96,0,12882,0,0,9,345,0,0,0,0,0,9,0,0,0,625.6363636363636,7160050.413223139,12882.0,110.4,20.625
456,4,36,912,0,108,96,0,8631,0,0,9,1440,0,0,0,0,0,9,0,0,0,531.8636363636364,3245748.117768593,8631.0,328.8,89.125
1581,18,93,594,0,177,54,0,2682,0,0,30,990,0,0,0,0,0,21,0,0,27,284.8636363636364,422075.8450413221,2682.0,244.2,147.75
1248,48,102,231,27,399,0,0,1386,0,0,81,888,0,0,0,0,0,30,0,0,63,204.6818181818182,162854.1260330579,1386.0,257.4,114.375
984,252,102,231,573,255,0,0,0,9,0,108,723,0,0,30,0,0,18,0,0,105,154.0909090909091,68783.35537190078,0.0,201.6,148.875
534,318,190,315,225,63,0,9,0,18,0,339,504,0,0,30,0,0,201,0,0,159,132.04545454545453,28569.588842975216,0.0,119.4,144.25
549,318,354,237,225,9,0,9,9,30,0,408,471,21,0,0,0,0,348,0,0,159,143.04545454545453,32761.134297520668,9.0,100.2,164.8125
216,346,147,60,330,0,0,0,9,21,0,408,210,39,0,0,0,0,165,0,0,72,91.95454545454545,16339.679752066118,9.0,49.8,110.3125
33,438,81,9,201,0,0,0,0,0,0,283,18,39,0,0,15,0,0,0,0,102,55.40909090909091,12045.24173553719,0.0,11.4,72.625
27,381,63,0,183,0,0,0,0,0,0,126,0,21,0,0,45,4,0,0,0,192,47.36363636363637,8600.776859504129,0.0,4.2,63.8125
96,129,63,0,45,21,0,9,0,0,0,147,0,21,0,0,36,18,0,0,0,135,32.72727272727273,2304.7438016528927,0.0,8.4,42.375
174,105,63,0,72,87,0,9,0,0,0,96,21,10,0,0,6,0,9,0,9,36,31.681818181818183,2148.762396694216,0.0,23.6,36.1875
78,105,45,0,72,54,0,0,0,0,9,126,21,0,0,0,6,0,9,0,9,27,25.5,1375.159090909091,0.0,15.0,30.375
66,61,9,45,49,30,0,9,0,0,18,126,0,0,0,0,12,18,0,0,0,18,20.954545454545453,949.8615702479337,0.0,6.0,26.9375
60,18,9,0,18,0,0,18,0,0,9,243,0,0,0,0,6,18,0,0,0,0,18.136363636363637,2586.6632231404947,0.0,0.0,24.9375
6,33,9,0,9,0,0,9,0,21,9,315,0,0,0,0,21,18,0,0,0,0,20.454545454545453,4212.520661157027,0.0,0.0,28.125
18,33,9,0,18,9,0,0,0,42,4,249,9,0,0,0,21,9,0,0,0,0,19.136363636363637,2646.663223140495,0.0,3.6,25.1875
36,0,9,36,9,18,0,0,0,21,9,216,9,9,0,0,21,9,0,0,0,0,18.272727272727273,1981.5619834710742,0.0,7.2,22.875
15,0,9,72,9,9,0,0,0,0,9,210,0,18,0,0,15,9,0,0,0,0,17.045454545454547,2003.2252066115707,0.0,5.4,21.75
24,4,9,189,33,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,9,0,21.727272727272727,3239.92561983471,0.0,0.0,29.875
24,0,9,102,66,0,0,0,0,0,9,150,21,9,102,0,36,0,0,0,9,0,24.40909090909091,1690.605371900826,0.0,6.0,31.6875
0,0,0,0,9,0,0,57,0,0,9,102,9,9,0,0,72,16,0,0,9,0,13.272727272727273,710.1074380165288,0.0,3.6,17.125
0,0,0,306,9,0,0,57,0,9,9,99,27,9,0,0,36,33,0,0,4,0,27.181818181818183,4267.512396694217,0.0,7.2,35.125
6,0,0,267,18,0,0,0,27,9,27,144,9,4,0,0,6,216,0,0,0,0,33.31818181818182,5285.9442148760345,27.0,2.6,43.3125
0,0,27,9,18,0,0,9,27,0,9,165,0,0,0,0,0,78,0,0,0,0,15.545454545454545,1364.4297520661162,27.0,0.0,19.6875
33,0,9,0,9,0,0,9,0,0,9,165,0,0,0,0,0,0,0,0,0,0,10.636363636363637,1188.5950413223138,0.0,0.0,14.625
45,0,0,0,0,0,0,0,0,0,18,160,0,9,0,0,30,0,0,0,0,0,11.909090909090908,1173.1735537190089,0.0,1.8,15.8125
69,9,0,0,9,0,0,0,0,0,18,108,0,9,0,0,6,0,0,0,0,0,10.363636363636363,666.5950413223139,0.0,1.8,13.6875
96,0,0,45,0,0,0,0,0,0,9,69,21,9,0,0,18,0,0,0,0,0,12.136363636363637,622.2086776859503,0.0,6.0,14.8125
57,0,0,66,0,0,0,0,0,9,0,114,21,4,0,0,6,0,0,0,0,0,12.590909090909092,803.9690082644629,0.0,5.0,15.75
0,0,0,0,0,33,0,9,0,0,0,78,0,0,0,0,0,9,0,0,9,0,6.2727272727272725,297.7438016528927,0.0,6.6,6.5625
0,10,0,0,0,33,0,0,0,0,0,78,0,0,0,0,0,9,0,0,9,0,6.318181818181818,298.0351239669422,0.0,6.6,6.625
0,0,9,0,0,0,0,9,0,54,0,63,0,0,0,129,0,9,0,0,0,0,12.409090909090908,926.423553719008,0.0,25.8,9.0
