B-01,B-02,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,3.673469387755102,0.0,1.2857142857142858,0.0,0.0
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,3.673469387755102,0.0,1.2857142857142858,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.42857142857142855,3.6734693877551017,0.0,0.0,3.0,0.0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0.8571428571428571,6.979591836734694,0.0,0.0,3.0,1.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1992,9,0,0,0,0,0,0,0,0,0,0,0,95.28571428571429,179879.9183673469,0.0,284.57142857142856,0.0,1.8
0,0,18,0,9,141,0,0,3672,9,0,54,0,0,0,0,0,0,0,0,0,185.85714285714286,608641.2653061227,0.0,555.0,0.0,3.6
0,0,18,0,9,1752,18,0,10044,0,0,120,0,0,0,0,0,0,0,0,9,570.0,4625892.857142857,0.0,1704.857142857143,0.0,5.4
12,0,93,0,0,657,27,0,10044,0,0,87,0,0,0,0,9,0,0,0,123,526.2857142857143,4549017.918367348,0.0,1556.142857142857,0.0,7.2
72,0,318,0,0,483,21,0,8347,0,0,804,0,0,0,0,0,0,0,0,186,487.1904761904762,3129000.6303854883,0.0,1432.0,0.0,4.2
90,97,765,33,211,7713,312,0,24321,0,0,804,0,0,0,0,9,0,0,0,120,1641.6666666666667,28371977.936507914,0.0,4818.0,0.0,125.8
183,207,906,33,594,3666,276,0,16563,0,0,252,0,0,0,0,9,0,0,0,192,1089.5714285714287,12584274.530612241,0.0,3086.1428571428573,0.0,217.2
213,285,570,90,282,780,165,0,36765,0,0,543,9,0,0,0,4,0,0,0,369,1908.3333333333333,60799743.650793664,1.8,5565.857142857143,0.0,147.2
204,330,570,99,120,210,171,0,14145,0,0,1179,9,0,0,0,0,0,0,0,390,829.8571428571429,8939727.836734693,1.8,2343.8571428571427,0.0,124.2
408,246,739,30,9,180,138,0,23007,9,0,2241,18,0,105,0,0,9,0,0,351,1309.047619047619,23777078.521541946,3.6,3802.0,35.0,80.4
513,246,594,84,9,1014,81,0,45396,48,0,3588,60,0,105,0,0,9,0,0,297,2478.285714285714,92691156.77551018,12.0,7314.0,35.0,76.8
720,315,537,60,111,2502,342,0,14253,144,147,1743,0,0,0,0,9,27,0,0,210,1005.7142857142857,9158643.346938778,29.4,2834.5714285714284,0.0,184.2
561,792,1236,150,84,3531,729,0,11586,84,147,1275,9,0,0,6,9,27,0,0,210,973.1428571428571,6264104.979591838,32.4,2623.714285714286,0.0,339.6
561,864,822,267,150,2367,450,0,2277,63,147,1587,51,114,0,6,4,18,0,0,387,482.6190476190476,506626.3310657594,63.6,1128.4285714285713,0.0,306.2
681,627,822,1128,201,2367,396,0,43920,93,73,1056,51,141,0,63,0,18,0,0,369,2476.4761904761904,86193890.15419501,65.6,7141.714285714285,0.0,263.4
606,654,823,537,189,1720,210,0,18174,39,9,1671,60,27,0,69,0,0,0,0,588,1208.3809523809523,14646568.99773242,33.0,3361.5714285714284,0.0,218.4
576,654,795,288,189,2472,171,0,25554,72,0,1023,9,30,0,6,0,21,0,0,711,1551.0,29128485.428571425,9.0,4389.857142857143,0.0,217.2
633,642,738,321,288,1560,39,21,14817,84,0,588,48,30,0,0,0,21,0,0,513,968.7142857142857,9735028.204081632,19.8,2668.285714285714,0.0,210.6
819,525,459,120,477,753,93,54,15405,54,0,1398,60,9,0,0,0,0,18,0,390,982.5714285714286,10530030.530612245,24.6,2707.714285714286,6.0,229.8
834,750,966,9,1179,294,126,33,7023,0,0,636,102,0,0,0,0,18,9,0,387,588.8571428571429,2204310.9795918367,27.0,1397.142857142857,3.0,411.0
1020,672,966,18,1266,3147,156,114,10176,18,10,399,102,126,0,0,18,27,0,0,480,891.1904761904761,4821850.72562358,70.4,2250.4285714285716,0.0,426.0
813,762,928,183,1014,5268,1113,9,5592,18,9,561,70,126,0,33,9,87,0,0,528,815.3809523809524,2385108.426303854,49.4,1918.857142857143,0.0,583.2
816,762,801,183,1014,3024,537,30,13800,9,0,726,45,0,0,33,9,87,0,0,609,1070.7142857142858,8555115.346938772,21.6,2776.714285714286,0.0,466.2
747,831,1110,154,915,813,195,18,25473,51,0,390,27,18,9,12,9,9,0,0,492,1489.1904761904761,28892448.0589569,15.0,4099.428571428572,3.0,400.2
813,1140,1038,126,729,507,297,27,14832,213,93,369,27,18,0,6,9,0,27,0,471,987.7142857142857,9706966.20408163,34.2,2526.4285714285716,9.0,477.6
786,876,957,163,783,1500,396,36,25950,177,93,762,69,18,0,0,13,18,66,0,627,1585.2380952380952,29857257.133786853,43.2,4305.142857142857,22.0,449.0
