B-01,B-02,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,Average,Variance,Zone 1,Zone 2,Zone 3
0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,21,0,0,9,0,2.0454545454545454,29.77066115702479,0.0,0.0,2.8125
0,0,0,0,18,0,0,0,0,0,0,21,0,0,0,0,0,10,0,9,9,0,3.0454545454545454,37.40702479338844,0.0,0.0,4.1875
0,9,0,0,9,0,0,0,0,9,4,0,0,0,0,0,0,9,0,9,4,0,2.409090909090909,14.059917355371903,0.0,0.0,3.3125
0,0,0,0,0,21,0,0,0,9,9,0,0,0,0,0,0,18,0,0,0,0,2.590909090909091,35.42355371900825,0.0,4.2,2.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.4090909090909091,3.514462809917356,0.0,0.0,0.5625
0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,96,0,0,18,0,9,6.0,405.0,0.0,1.8,7.6875
0,0,0,0,0,0,0,0,0,9,9,4,0,0,0,0,0,0,0,87,0,0,4.954545454545454,327.58884297520666,0.0,0.0,6.8125
0,0,0,0,0,0,0,0,17547,9,9,0,0,0,0,0,0,0,0,78,0,0,801.9545454545455,13352480.497933883,17547.0,0.0,6.0
0,0,0,0,0,645,0,0,12006,0,13,0,87,0,0,0,0,0,0,9,0,0,580.0,6234867.2727272725,12006.0,146.4,1.375
0,0,40,0,0,3978,33,0,38037,0,27,9,315,0,0,0,0,9,9,9,0,0,1930.2727272727273,62762266.28925619,38037.0,865.2,6.4375
6,0,117,67,0,2589,96,0,12054,0,18,9,723,0,0,0,0,9,18,0,27,0,715.1363636363636,6422831.57231405,12054.0,681.6,16.9375
237,4,120,134,4,5073,300,0,12054,0,0,9,321,0,0,0,6,0,0,0,27,243,842.3636363636364,7080229.776859501,12054.0,1138.8,49.0
369,9,606,72,192,3507,81,0,14185,0,0,15,30,0,0,0,0,0,33,9,0,528,892.5454545454545,8946382.611570252,14185.0,723.6,114.5625
306,168,681,135,318,3507,216,0,25650,0,0,21,9,9,0,0,0,0,33,0,0,96,1415.8636363636363,28494606.663223147,25650.0,748.2,109.875
585,60,681,123,114,2413,216,0,23295,30,10,9,126,9,0,0,6,0,0,0,0,120,1263.5,23376087.522727273,23295.0,552.8,108.625
489,183,556,30,36,1908,231,0,13062,9,21,0,813,28,0,0,0,0,0,0,0,222,799.4545454545455,7342925.611570254,13062.0,596.0,96.625
369,183,930,30,36,1353,246,75,8826,21,90,33,468,150,0,0,24,0,0,0,18,303,597.9545454545455,3332251.952479336,8826.0,443.4,132.0
555,274,720,243,222,213,169,132,14757,63,69,33,1500,111,0,0,0,9,9,0,18,393,885.9090909090909,9274133.809917355,14757.0,398.6,171.25
555,459,555,243,483,435,93,150,19239,192,0,36,3372,30,0,9,0,9,0,0,0,366,1192.090909090909,15989015.900826447,19239.0,787.8,190.5
723,402,489,253,468,486,252,9,2457,177,0,42,2517,60,0,0,0,4,9,0,0,306,393.3636363636364,482030.1404958678,2457.0,663.0,180.125
723,357,489,375,606,3831,159,0,25284,36,0,66,1428,60,0,0,6,0,9,0,0,291,1532.7272727272727,27537696.743801672,25284.0,1095.6,184.875
741,366,853,138,471,438,159,9,27195,138,27,33,1596,49,78,9,12,0,9,0,0,354,1485.2272727272727,31618597.5392562,27195.0,450.2,201.8125
621,366,738,222,471,3534,132,42,8139,210,582,42,1692,9,120,0,12,0,0,0,0,222,779.7272727272727,3182861.3801652887,8139.0,1073.4,228.0
999,505,813,39,451,690,84,54,18267,48,78,42,1362,39,87,0,15,0,0,0,0,216,1081.3181818181818,14203907.580578515,18267.0,435.0,209.1875
891,624,930,219,681,189,51,21,13758,216,48,30,1407,90,30,0,15,0,9,4,18,306,888.0454545454545,8030193.316115703,13758.0,347.4,252.625
1629,735,1074,219,768,555,51,30,13758,372,48,147,852,132,48,0,0,4,0,0,18,423,948.3181818181819,7994620.580578512,13758.0,318.0,344.6875
1095,909,1074,422,768,441,135,63,11279,189,49,225,1095,132,9,0,0,42,9,0,9,357,831.9090909090909,5344920.809917355,11279.0,360.6,326.25
885,1140,885,625,699,3510,162,108,8800,72,51,150,1038,85,9,0,0,18,9,129,0,336,850.5,3585207.0681818184,8800.0,959.0,319.75
807,1140,870,453,699,6774,324,30,11628,57,165,51,681,57,72,0,21,18,18,129,0,504,1113.5454545454545,7186466.975206614,11628.0,1567.2,314.625
909,915,1074,342,933,6774,234,72,16479,39,144,51,249,66,114,0,33,42,18,18,0,651,1325.3181818181818,12872641.035123967,16479.0,1464.6,334.6875
801,666,1083,240,819,3618,345,30,9675,9,126,117,357,108,60,0,18,42,9,27,36,741,860.3181818181819,4283830.5805785125,9675.0,885.6,301.5
771,795,1047,426,1368,462,516,39,20277,93,126,165,1005,129,30,0,0,30,33,18,36,525,1267.7727272727273,17364210.266528927,20277.0,422.4,343.875
747,660,1047,324,1734,423,246,72,11355,93,127,396,1047,129,81,9,12,18,42,18,27,453,866.3636363636364,5426313.322314051,11355.0,370.8,365.6875
573,555,964,342,858,3552,591,51,9090,96,150,396,795,96,117,9,18,9,120,9,18,465,857.9090909090909,3768102.9917355375,9090.0,1008.6,296.3125
606,555,786,342,858,3552,432,39,11415,180,195,198,609,114,18,0,30,21,96,0,0,267,923.3181818181819,5776071.489669421,11415.0,941.4,261.9375
945,606,654,387,687,2634,507,204,19938,198,9,198,414,60,285,0,30,21,93,9,0,234,1277.8636363636363,16888415.299586777,19938.0,723.0,285.0
1062,825,744,534,588,1716,510,177,15309,459,99,136,267,30,378,9,15,21,42,9,0,381,1059.590909090909,9840734.150826445,15309.0,506.4,341.875
669,771,1356,213,714,2310,363,111,3375,252,99,357,549,21,162,18,36,64,48,66,0,456,545.9090909090909,659068.2644628099,3375.0,652.2,335.875
495,552,1356,171,984,1419,249,219,666,186,121,606,444,21,42,9,138,225,66,84,40,525,391.72727272727275,161424.3801652893,666.0,428.4,363.125
567,618,976,339,489,231,129,111,171,210,204,687,366,55,39,9,198,132,9,54,54,552,281.8181818181818,65356.14876033058,171.0,158.0,327.4375
471,618,594,219,489,60,207,255,171,126,285,783,162,99,189,9,144,210,0,36,9,312,247.63636363636363,44584.95867768596,171.0,107.4,296.25
276,519,978,63,673,285,51,237,130,177,378,783,81,141,168,0,141,255,9,66,18,504,269.6818181818182,68247.39876033059,130.0,111.6,327.8125
327,351,537,63,606,297,42,426,108,162,612,642,81,153,57,0,18,255,27,84,72,309,237.6818181818182,43179.489669421484,108.0,114.6,284.25
333,564,453,96,486,75,150,258,162,351,612,465,156,60,141,0,102,193,48,45,72,162,226.54545454545453,32574.2479338843,162.0,88.2,273.8125
303,345,453,69,378,72,201,27,162,222,595,786,60,60,471,9,246,84,30,36,67,81,216.22727272727272,42668.084710743795,162.0,80.4,262.0625
225,414,409,111,231,150,135,18,54,222,645,912,9,100,354,21,153,36,18,18,45,192,203.27272727272728,49411.198347107435,54.0,83.0,250.1875
186,414,396,189,231,228,60,9,27,240,624,792,27,81,231,21,60,9,9,30,27,225,187.0909090909091,42252.991735537194,27.0,83.4,229.5
117,297,402,192,298,117,102,51,18,57,750,792,75,30,87,18,27,9,9,48,54,123,166.95454545454547,46892.497933884304,18.0,68.4,207.0625
144,138,366,75,486,9,39,90,9,144,591,531,57,9,51,42,72,9,63,36,102,126,144.95454545454547,29980.134297520664,9.0,31.2,189.0
72,96,294,39,381,18,39,48,9,198,591,237,51,48,129,33,36,79,72,48,102,96,123.45454545454545,19017.2479338843,9.0,37.8,157.375
168,246,294,39,282,9,62,96,9,93,432,180,63,48,186,0,78,78,9,201,198,36,127.5909090909091,12408.514462809915,9.0,36.4,163.5
171,369,324,40,273,54,85,117,9,291,261,222,51,52,162,30,60,36,39,198,288,27,143.5909090909091,12756.514462809917,9.0,54.4,179.875
171,369,165,27,273,63,108,48,27,330,324,231,18,57,144,9,12,39,39,18,81,75,119.45454545454545,12724.88429752066,27.0,51.0,146.625
129,219,138,0,196,9,9,75,27,294,273,231,0,0,99,18,27,69,18,9,72,39,88.68181818181819,8755.035123966944,27.0,7.2,118.0
171,60,108,0,27,0,9,84,27,120,222,219,9,18,36,18,33,69,75,36,54,9,63.81818181818182,4224.421487603307,27.0,10.8,82.6875
363,141,99,30,252,0,18,144,21,93,222,102,9,39,60,36,36,70,144,54,54,90,94.4090909090909,7589.42355371901,21.0,20.4,122.125
225,162,99,51,288,9,0,105,15,102,232,171,9,39,99,51,12,30,75,63,49,27,86.95454545454545,6292.861570247935,15.0,21.6,111.875
54,51,82,75,114,18,0,30,9,198,255,228,9,40,138,330,36,69,9,54,72,81,88.72727272727273,7527.652892561983,9.0,79.4,96.625
48,51,291,129,114,108,18,39,9,189,141,138,0,0,69,27,36,144,45,45,90,90,82.77272727272727,4750.084710743801,9.0,30.6,103.6875
12,51,252,18,79,78,48,18,9,30,276,138,0,9,0,9,21,159,63,75,99,18,66.45454545454545,5735.157024793389,9.0,28.8,81.8125
