B-01,B-02,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,Average,Variance,Zone 1,Zone 2,Zone 3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,9.0,0.0,2.0454545454545454,29.77066115702479,0.0,0.0,2.8125
0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,0.0,19.9,0.0,0.9,9.0,0.0,2.1454545454545455,30.534297520661156,0.0,0.0,2.95
0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,18.8,0.0,1.8,9.0,0.0,2.2454545454545456,31.29793388429752,0.0,0.0,3.0875
0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,17.7,0.0,2.7,9.0,0.0,2.3454545454545457,32.061570247933886,0.0,0.0,3.225
0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,16.6,0.0,3.6,9.0,0.0,2.4454545454545453,32.82520661157025,0.0,0.0,3.3625
0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,4.5,9.0,0.0,2.5454545454545454,33.58884297520662,0.0,0.0,3.5
0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,14.399999999999999,0.0,5.4,9.0,0.0,2.6454545454545455,34.35247933884298,0.0,0.0,3.6375
0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,13.299999999999999,0.0,6.3,9.0,0.0,2.7454545454545456,35.11611570247934,0.0,0.0,3.7750000000000004
0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0.0,0.0,0.0,0.0,0.0,12.2,0.0,7.2,9.0,0.0,2.8454545454545457,35.87975206611571,0.0,0.0,3.9125
0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,11.1,0.0,8.1,9.0,0.0,2.9454545454545453,36.64338842975207,0.0,0.0,4.05
0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,9.0,9.0,0.0,3.0454545454545454,37.40702479338844,0.0,0.0,4.1875
0.0,0.9,0.0,0.0,17.1,0.0,0.0,0.0,0.0,0.9,0.4,18.9,0.0,0.0,0.0,0.0,0.0,9.9,0.0,9.0,8.5,0.0,2.981818181818182,35.07231404958679,0.0,0.0,4.1
0.0,1.8,0.0,0.0,16.2,0.0,0.0,0.0,0.0,1.8,0.8,16.8,0.0,0.0,0.0,0.0,0.0,9.8,0.0,9.0,8.0,0.0,2.918181818181818,32.73760330578513,0.0,0.0,4.0125
0.0,2.7,0.0,0.0,15.3,0.0,0.0,0.0,0.0,2.7,1.2000000000000002,14.7,0.0,0.0,0.0,0.0,0.0,9.7,0.0,9.0,7.5,0.0,2.8545454545454545,30.402892561983478,0.0,0.0,3.925
0.0,3.6,0.0,0.0,14.4,0.0,0.0,0.0,0.0,3.6,1.6,12.6,0.0,0.0,0.0,0.0,0.0,9.6,0.0,9.0,7.0,0.0,2.790909090909091,28.068181818181824,0.0,0.0,3.8375
0.0,4.5,0.0,0.0,13.5,0.0,0.0,0.0,0.0,4.5,2.0,10.5,0.0,0.0,0.0,0.0,0.0,9.5,0.0,9.0,6.5,0.0,2.7272727272727275,25.73347107438017,0.0,0.0,3.75
0.0,5.4,0.0,0.0,12.6,0.0,0.0,0.0,0.0,5.4,2.4000000000000004,8.399999999999999,0.0,0.0,0.0,0.0,0.0,9.4,0.0,9.0,6.0,0.0,2.6636363636363636,23.39876033057852,0.0,0.0,3.6625
0.0,6.3,0.0,0.0,11.7,0.0,0.0,0.0,0.0,6.3,2.8000000000000003,6.299999999999999,0.0,0.0,0.0,0.0,0.0,9.3,0.0,9.0,5.5,0.0,2.6,21.064049586776864,0.0,0.0,3.575
0.0,7.2,0.0,0.0,10.8,0.0,0.0,0.0,0.0,7.2,3.2,4.199999999999999,0.0,0.0,0.0,0.0,0.0,9.2,0.0,9.0,5.0,0.0,2.536363636363636,18.72933884297521,0.0,0.0,3.4875
0.0,8.1,0.0,0.0,9.9,0.0,0.0,0.0,0.0,8.1,3.6,2.099999999999998,0.0,0.0,0.0,0.0,0.0,9.1,0.0,9.0,4.5,0.0,2.4727272727272727,16.394628099173556,0.0,0.0,3.4
0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,4.0,0.0,2.409090909090909,14.059917355371903,0.0,0.0,3.3125
