B-01,B-02,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,Average,Variance,Zone 1,Zone 2,Zone 3
0.0,45.0,0.0,0.0,9.0,0.0,9.0,0.0,45.0,0.0,13.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,6.090909090909091,166.44628099173556,7.5,6.3,4.333333333333333
0.0,45.0,0.0,0.0,8.1,0.0,8.1,0.0,40.5,2.1,12.6,3.0,0.0,0.4,0.0,9.0,0.6,0.0,0.0,0.0,4.5,0.0,6.086363636363636,162.7878099173554,7.1,6.52,4.35
0.0,45.0,0.0,0.0,7.2,0.0,7.2,0.0,36.0,4.2,12.2,6.0,0.0,0.8,0.0,9.0,1.2,0.0,0.0,0.0,5.0,0.0,6.081818181818182,159.12933884297524,6.7,6.74,4.366666666666666
0.0,45.0,0.0,0.0,6.3,0.0,6.3,0.0,31.5,6.300000000000001,11.8,9.0,0.0,1.2000000000000002,0.0,9.0,1.7999999999999998,0.0,0.0,0.0,5.5,0.0,6.077272727272727,155.47086776859507,6.3,6.96,4.383333333333333
0.0,45.0,0.0,0.0,5.4,0.0,5.4,0.0,27.0,8.4,11.4,12.0,0.0,1.6,0.0,9.0,2.4,0.0,0.0,0.0,6.0,0.0,6.072727272727273,151.81239669421493,5.9,7.18,4.3999999999999995
0.0,45.0,0.0,0.0,4.5,0.0,4.5,0.0,22.5,10.5,11.0,15.0,0.0,2.0,0.0,9.0,3.0,0.0,0.0,0.0,6.5,0.0,6.068181818181818,148.15392561983475,5.5,7.4,4.416666666666666
0.0,45.0,0.0,0.0,3.5999999999999996,0.0,3.5999999999999996,0.0,18.0,12.600000000000001,10.6,18.0,0.0,2.4000000000000004,0.0,9.0,3.5999999999999996,0.0,0.0,0.0,7.0,0.0,6.0636363636363635,144.4954545454546,5.1,7.62,4.433333333333334
0.0,45.0,0.0,0.0,2.7,0.0,2.7,0.0,13.5,14.700000000000001,10.2,21.0,0.0,2.8000000000000003,0.0,9.0,4.2,0.0,0.0,0.0,7.5,0.0,6.0590909090909095,140.83698347107443,4.699999999999999,7.84,4.45
0.0,45.0,0.0,0.0,1.7999999999999998,0.0,1.7999999999999998,0.0,9.0,16.8,9.8,24.0,0.0,3.2,0.0,9.0,4.8,0.0,0.0,0.0,8.0,0.0,6.054545454545455,137.17851239669426,4.3,8.06,4.466666666666667
0.0,45.0,0.0,0.0,0.9000000000000004,0.0,0.9000000000000004,0.0,4.5,18.900000000000002,9.4,27.0,0.0,3.6,0.0,9.0,5.3999999999999995,0.0,0.0,0.0,8.5,0.0,6.050000000000001,133.5200413223141,3.9,8.28,4.483333333333333
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,30.0,0.0,4.0,0.0,9.0,6.0,0.0,0.0,0.0,9.0,0.0,6.045454545454546,129.86157024793394,3.5,8.5,4.5
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.1,29.1,0.0,4.5,0.0,8.1,5.4,0.0,0.0,0.0,8.1,0.0,6.013636363636364,136.99524793388434,4.0,8.4,4.05
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,7.2,28.2,0.0,5.0,0.0,7.2,4.8,0.0,0.0,0.0,7.2,0.0,5.981818181818182,144.12892561983475,4.5,8.3,3.6
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.3,27.3,0.0,5.5,0.0,6.3,4.2,0.0,0.0,0.0,6.3,0.0,5.95,151.26260330578515,5.0,8.2,3.15
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,5.4,26.4,0.0,6.0,0.0,5.4,3.6,0.0,0.0,0.0,5.4,0.0,5.918181818181819,158.39628099173555,5.5,8.1,2.7
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.5,25.5,0.0,6.5,0.0,4.5,3.0,0.0,0.0,0.0,4.5,0.0,5.886363636363637,165.52995867768595,6.0,8.0,2.25
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,3.5999999999999996,24.6,0.0,7.0,0.0,3.5999999999999996,2.4000000000000004,0.0,0.0,0.0,3.5999999999999996,0.0,5.8545454545454545,172.66363636363639,6.5,7.9,1.7999999999999998
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.7,23.7,0.0,7.5,0.0,2.7,1.7999999999999998,0.0,0.0,0.0,2.7,0.0,5.822727272727273,179.7973140495868,7.0,7.8,1.35
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.7999999999999998,22.8,0.0,8.0,0.0,1.7999999999999998,1.2000000000000002,0.0,0.0,0.0,1.7999999999999998,0.0,5.790909090909091,186.9309917355372,7.5,7.7,0.8999999999999999
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.9000000000000004,21.9,0.0,8.5,0.0,0.9000000000000004,0.6000000000000005,0.0,0.0,0.0,0.9000000000000004,0.0,5.75909090909091,194.0646694214876,8.0,7.6,0.4500000000000002
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,21.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7272727272727275,201.198347107438,8.5,7.5,0.0
0.0,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.9,0.0,21.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,5.663636363636364,193.695867768595,8.15,7.18,0.65
0.0,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.8,0.0,21.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,5.6000000000000005,186.19338842975205,7.8,6.86,1.3
0.0,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7,0.0,21.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,5.536363636363636,178.6909090909091,7.45,6.54,1.9500000000000002
0.0,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6,0.0,21.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,5.472727272727273,171.1884297520661,7.1,6.22,2.6
0.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,0.0,21.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,5.409090909090909,163.6859504132231,6.75,5.9,3.25
0.0,31.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,0.0,21.0,0.0,3.5999999999999996,0.0,0.0,0.0,0.0,0.0,23.4,0.0,0.0,5.345454545454546,156.18347107438015,6.4,5.58,3.9000000000000004
0.0,28.900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3,0.0,21.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,27.3,0.0,0.0,5.281818181818182,148.6809917355372,6.050000000000001,5.26,4.55
